CarName,fueltype,aspiration,doornumber,carbody,enginetype,cylindernumber,enginesize,boreratio,horsepower,peakrpm,price
alfa-romero giulia,gas,std,two,convertible,dohc,four,130,3.47,111,5000,13495.0
alfa-romero stelvio,gas,std,two,convertible,dohc,four,130,3.47,111,5000,16500.0
alfa-romero Quadrifoglio,gas,std,two,hatchback,ohcv,six,152,2.68,154,5000,16500.0
audi 100 ls,gas,std,four,sedan,ohc,four,109,3.19,102,5500,13950.0
audi 100ls,gas,std,four,sedan,ohc,five,136,3.19,115,5500,17450.0
audi fox,gas,std,two,sedan,ohc,five,136,3.19,110,5500,15250.0
audi 100ls,gas,std,four,sedan,ohc,five,136,3.19,110,5500,17710.0
audi 5000,gas,std,four,wagon,ohc,five,136,3.19,110,5500,18920.0
audi 4000,gas,turbo,four,sedan,ohc,five,131,3.13,140,5500,23875.0
audi 5000s (diesel),gas,turbo,two,hatchback,ohc,five,131,3.13,160,5500,17859.167
bmw 320i,gas,std,two,sedan,ohc,four,108,3.5,101,5800,16430.0
bmw 320i,gas,std,four,sedan,ohc,four,108,3.5,101,5800,16925.0
bmw x1,gas,std,two,sedan,ohc,six,164,3.31,121,4250,20970.0
bmw x3,gas,std,four,sedan,ohc,six,164,3.31,121,4250,21105.0
bmw z4,gas,std,four,sedan,ohc,six,164,3.31,121,4250,24565.0
bmw x4,gas,std,four,sedan,ohc,six,209,3.62,182,5400,30760.0
bmw x5,gas,std,two,sedan,ohc,six,209,3.62,182,5400,41315.0
bmw x3,gas,std,four,sedan,ohc,six,209,3.62,182,5400,36880.0
chevrolet impala,gas,std,two,hatchback,l,three,61,2.91,48,5100,5151.0
chevrolet monte carlo,gas,std,two,hatchback,ohc,four,90,3.03,70,5400,6295.0
chevrolet vega 2300,gas,std,four,sedan,ohc,four,90,3.03,70,5400,6575.0
dodge rampage,gas,std,two,hatchback,ohc,four,90,2.97,68,5500,5572.0
dodge challenger se,gas,std,two,hatchback,ohc,four,90,2.97,68,5500,6377.0
dodge d200,gas,turbo,two,hatchback,ohc,four,98,3.03,102,5500,7957.0
dodge monaco (sw),gas,std,four,hatchback,ohc,four,90,2.97,68,5500,6229.0
dodge colt hardtop,gas,std,four,sedan,ohc,four,90,2.97,68,5500,6692.0
dodge colt (sw),gas,std,four,sedan,ohc,four,90,2.97,68,5500,7609.0
dodge coronet custom,gas,turbo,two,sedan,ohc,four,98,3.03,102,5500,8558.0
dodge dart custom,gas,std,four,wagon,ohc,four,122,3.34,88,5000,8921.0
dodge coronet custom (sw),gas,turbo,two,hatchback,ohc,four,156,3.6,145,5000,12964.0
honda civic,gas,std,two,hatchback,ohc,four,92,2.91,58,4800,6479.0
honda civic cvcc,gas,std,two,hatchback,ohc,four,92,2.91,76,6000,6855.0
honda civic,gas,std,two,hatchback,ohc,four,79,2.91,60,5500,5399.0
honda accord cvcc,gas,std,two,hatchback,ohc,four,92,2.91,76,6000,6529.0
honda civic cvcc,gas,std,two,hatchback,ohc,four,92,2.91,76,6000,7129.0
honda accord lx,gas,std,four,sedan,ohc,four,92,2.91,76,6000,7295.0
honda civic 1500 gl,gas,std,four,wagon,ohc,four,92,2.92,76,6000,7295.0
honda accord,gas,std,two,hatchback,ohc,four,110,3.15,86,5800,7895.0
honda civic 1300,gas,std,two,hatchback,ohc,four,110,3.15,86,5800,9095.0
honda prelude,gas,std,four,sedan,ohc,four,110,3.15,86,5800,8845.0
honda accord,gas,std,four,sedan,ohc,four,110,3.15,86,5800,10295.0
honda civic,gas,std,four,sedan,ohc,four,110,3.15,101,5800,12945.0
honda civic (auto),gas,std,two,sedan,ohc,four,110,3.15,100,5500,10345.0
isuzu MU-X,gas,std,four,sedan,ohc,four,111,3.31,78,4800,6785.0
isuzu D-Max ,gas,std,two,sedan,ohc,four,90,3.03,70,5400,8916.5
isuzu D-Max V-Cross,gas,std,four,sedan,ohc,four,90,3.03,70,5400,8916.5
isuzu D-Max ,gas,std,two,hatchback,ohc,four,119,3.43,90,5000,11048.0
jaguar xj,gas,std,four,sedan,dohc,six,258,3.63,176,4750,32250.0
jaguar xf,gas,std,four,sedan,dohc,six,258,3.63,176,4750,35550.0
jaguar xk,gas,std,two,sedan,ohcv,twelve,326,3.54,262,5000,36000.0
maxda rx3,gas,std,two,hatchback,ohc,four,91,3.03,68,5000,5195.0
maxda glc deluxe,gas,std,two,hatchback,ohc,four,91,3.03,68,5000,6095.0
mazda rx2 coupe,gas,std,two,hatchback,ohc,four,91,3.03,68,5000,6795.0
mazda rx-4,gas,std,four,sedan,ohc,four,91,3.03,68,5000,6695.0
mazda glc deluxe,gas,std,four,sedan,ohc,four,91,3.08,68,5000,7395.0
mazda 626,gas,std,two,hatchback,rotor,two,70,3.33,101,6000,10945.0
mazda glc,gas,std,two,hatchback,rotor,two,70,3.33,101,6000,11845.0
mazda rx-7 gs,gas,std,two,hatchback,rotor,two,70,3.33,101,6000,13645.0
mazda glc 4,gas,std,two,hatchback,rotor,two,80,3.33,135,6000,15645.0
mazda 626,gas,std,two,hatchback,ohc,four,122,3.39,84,4800,8845.0
mazda glc custom l,gas,std,four,sedan,ohc,four,122,3.39,84,4800,8495.0
mazda glc custom,gas,std,two,hatchback,ohc,four,122,3.39,84,4800,10595.0
mazda rx-4,gas,std,four,sedan,ohc,four,122,3.39,84,4800,10245.0
mazda glc deluxe,diesel,std,four,sedan,ohc,four,122,3.39,64,4650,10795.0
mazda 626,gas,std,four,hatchback,ohc,four,122,3.39,84,4800,11245.0
mazda glc,gas,std,four,sedan,ohc,four,140,3.76,120,5000,18280.0
mazda rx-7 gs,diesel,std,four,sedan,ohc,four,134,3.43,72,4200,18344.0
buick electra 225 custom,diesel,turbo,four,sedan,ohc,five,183,3.58,123,4350,25552.0
buick century luxus (sw),diesel,turbo,four,wagon,ohc,five,183,3.58,123,4350,28248.0
buick century,diesel,turbo,two,hardtop,ohc,five,183,3.58,123,4350,28176.0
buick skyhawk,diesel,turbo,four,sedan,ohc,five,183,3.58,123,4350,31600.0
buick opel isuzu deluxe,gas,std,four,sedan,ohcv,eight,234,3.46,155,4750,34184.0
buick skylark,gas,std,two,convertible,ohcv,eight,234,3.46,155,4750,35056.0
buick century special,gas,std,four,sedan,ohcv,eight,308,3.8,184,4500,40960.0
buick regal sport coupe (turbo),gas,std,two,hardtop,ohcv,eight,304,3.8,184,4500,45400.0
mercury cougar,gas,turbo,two,hatchback,ohc,four,140,3.78,175,5000,16503.0
mitsubishi mirage,gas,std,two,hatchback,ohc,four,92,2.97,68,5500,5389.0
mitsubishi lancer,gas,std,two,hatchback,ohc,four,92,2.97,68,5500,6189.0
mitsubishi outlander,gas,std,two,hatchback,ohc,four,92,2.97,68,5500,6669.0
mitsubishi g4,gas,turbo,two,hatchback,ohc,four,98,3.03,102,5500,7689.0
mitsubishi mirage g4,gas,turbo,two,hatchback,ohc,four,110,3.17,116,5500,9959.0
mitsubishi g4,gas,std,two,hatchback,ohc,four,122,3.35,88,5000,8499.0
mitsubishi outlander,gas,turbo,two,hatchback,ohc,four,156,3.58,145,5000,12629.0
mitsubishi g4,gas,turbo,two,hatchback,ohc,four,156,3.59,145,5000,14869.0
mitsubishi mirage g4,gas,turbo,two,hatchback,ohc,four,156,3.59,145,5000,14489.0
mitsubishi montero,gas,std,four,sedan,ohc,four,122,3.35,88,5000,6989.0
mitsubishi pajero,gas,std,four,sedan,ohc,four,122,3.35,88,5000,8189.0
mitsubishi outlander,gas,turbo,four,sedan,ohc,four,110,3.17,116,5500,9279.0
mitsubishi mirage g4,gas,std,four,sedan,ohc,four,110,3.17,116,5500,9279.0
Nissan versa,gas,std,two,sedan,ohc,four,97,3.15,69,5200,5499.0
nissan gt-r,diesel,std,two,sedan,ohc,four,103,2.99,55,4800,7099.0
nissan rogue,gas,std,two,sedan,ohc,four,97,3.15,69,5200,6649.0
nissan latio,gas,std,four,sedan,ohc,four,97,3.15,69,5200,6849.0
nissan titan,gas,std,four,wagon,ohc,four,97,3.15,69,5200,7349.0
nissan leaf,gas,std,two,sedan,ohc,four,97,3.15,69,5200,7299.0
nissan juke,gas,std,two,hatchback,ohc,four,97,3.15,69,5200,7799.0
nissan latio,gas,std,four,sedan,ohc,four,97,3.15,69,5200,7499.0
nissan note,gas,std,four,wagon,ohc,four,97,3.15,69,5200,7999.0
nissan clipper,gas,std,two,hardtop,ohc,four,97,3.15,69,5200,8249.0
nissan rogue,gas,std,four,hatchback,ohc,four,120,3.33,97,5200,8949.0
nissan nv200,gas,std,four,sedan,ohc,four,120,3.33,97,5200,9549.0
nissan dayz,gas,std,four,sedan,ohcv,six,181,3.43,152,5200,13499.0
nissan fuga,gas,std,four,wagon,ohcv,six,181,3.43,152,5200,14399.0
nissan otti,gas,std,four,sedan,ohcv,six,181,3.43,152,5200,13499.0
nissan teana,gas,std,two,hatchback,ohcv,six,181,3.43,160,5200,17199.0
nissan kicks,gas,turbo,two,hatchback,ohcv,six,181,3.43,200,5200,19699.0
nissan clipper,gas,std,two,hatchback,ohcv,six,181,3.43,160,5200,18399.0
peugeot 504,gas,std,four,sedan,l,four,120,3.46,97,5000,11900.0
peugeot 304,diesel,turbo,four,sedan,l,four,152,3.7,95,4150,13200.0
peugeot 504 (sw),gas,std,four,wagon,l,four,120,3.46,97,5000,12440.0
peugeot 504,diesel,turbo,four,wagon,l,four,152,3.7,95,4150,13860.0
peugeot 504,gas,std,four,sedan,l,four,120,3.46,95,5000,15580.0
peugeot 604sl,diesel,turbo,four,sedan,l,four,152,3.7,95,4150,16900.0
peugeot 504,gas,std,four,wagon,l,four,120,3.46,95,5000,16695.0
peugeot 505s turbo diesel,diesel,turbo,four,wagon,l,four,152,3.7,95,4150,17075.0
peugeot 504,gas,std,four,sedan,l,four,120,3.46,97,5000,16630.0
peugeot 504,diesel,turbo,four,sedan,l,four,152,3.7,95,4150,17950.0
peugeot 604sl,gas,turbo,four,sedan,l,four,134,3.61,142,5600,18150.0
plymouth fury iii,gas,std,two,hatchback,ohc,four,90,2.97,68,5500,5572.0
plymouth cricket,gas,turbo,two,hatchback,ohc,four,98,3.03,102,5500,7957.0
plymouth fury iii,gas,std,four,hatchback,ohc,four,90,2.97,68,5500,6229.0
plymouth satellite custom (sw),gas,std,four,sedan,ohc,four,90,2.97,68,5500,6692.0
plymouth fury gran sedan,gas,std,four,sedan,ohc,four,98,2.97,68,5500,7609.0
plymouth valiant,gas,std,four,wagon,ohc,four,122,3.35,88,5000,8921.0
plymouth duster,gas,turbo,two,hatchback,ohc,four,156,3.59,145,5000,12764.0
porsche macan,gas,std,two,hatchback,ohc,four,151,3.94,143,5500,22018.0
porcshce panamera,gas,std,two,hardtop,ohcf,six,194,3.74,207,5900,32528.0
porsche cayenne,gas,std,two,hardtop,ohcf,six,194,3.74,207,5900,34028.0
porsche boxter,gas,std,two,convertible,ohcf,six,194,3.74,207,5900,37028.0
porsche cayenne,gas,std,two,hatchback,dohcv,eight,203,3.94,288,5750,31400.5
renault 12tl,gas,std,four,wagon,ohc,four,132,3.46,90,5100,9295.0
renault 5 gtl,gas,std,two,hatchback,ohc,four,132,3.46,90,5100,9895.0
saab 99e,gas,std,two,hatchback,ohc,four,121,3.54,110,5250,11850.0
saab 99le,gas,std,four,sedan,ohc,four,121,3.54,110,5250,12170.0
saab 99le,gas,std,two,hatchback,ohc,four,121,2.54,110,5250,15040.0
saab 99gle,gas,std,four,sedan,ohc,four,121,3.54,110,5250,15510.0
saab 99gle,gas,turbo,two,hatchback,dohc,four,121,3.54,160,5500,18150.0
saab 99e,gas,turbo,four,sedan,dohc,four,121,3.54,160,5500,18620.0
subaru,gas,std,two,hatchback,ohcf,four,97,3.62,69,4900,5118.0
subaru dl,gas,std,two,hatchback,ohcf,four,108,3.62,73,4400,7053.0
subaru dl,gas,std,two,hatchback,ohcf,four,108,3.62,73,4400,7603.0
subaru,gas,std,four,sedan,ohcf,four,108,3.62,82,4800,7126.0
subaru brz,gas,std,four,sedan,ohcf,four,108,3.62,82,4400,7775.0
subaru baja,gas,std,four,sedan,ohcf,four,108,3.62,94,5200,9960.0
subaru r1,gas,std,four,sedan,ohcf,four,108,3.62,82,4800,9233.0
subaru r2,gas,turbo,four,sedan,ohcf,four,108,3.62,111,4800,11259.0
subaru trezia,gas,std,four,wagon,ohcf,four,108,3.62,82,4800,7463.0
subaru tribeca,gas,std,four,wagon,ohcf,four,108,3.62,94,5200,10198.0
subaru dl,gas,std,four,wagon,ohcf,four,108,3.62,82,4800,8013.0
subaru dl,gas,turbo,four,wagon,ohcf,four,108,3.62,111,4800,11694.0
toyota corona mark ii,gas,std,two,hatchback,ohc,four,92,3.05,62,4800,5348.0
toyota corona,gas,std,two,hatchback,ohc,four,92,3.05,62,4800,6338.0
toyota corolla 1200,gas,std,four,hatchback,ohc,four,92,3.05,62,4800,6488.0
toyota corona hardtop,gas,std,four,wagon,ohc,four,92,3.05,62,4800,6918.0
toyota corolla 1600 (sw),gas,std,four,wagon,ohc,four,92,3.05,62,4800,7898.0
toyota carina,gas,std,four,wagon,ohc,four,92,3.05,62,4800,8778.0
toyota mark ii,gas,std,four,sedan,ohc,four,98,3.19,70,4800,6938.0
toyota corolla 1200,gas,std,four,hatchback,ohc,four,98,3.19,70,4800,7198.0
toyota corona,diesel,std,four,sedan,ohc,four,110,3.27,56,4500,7898.0
toyota corolla,diesel,std,four,hatchback,ohc,four,110,3.27,56,4500,7788.0
toyota corona,gas,std,four,sedan,ohc,four,98,3.19,70,4800,7738.0
toyota corolla,gas,std,four,hatchback,ohc,four,98,3.19,70,4800,8358.0
toyota mark ii,gas,std,four,sedan,ohc,four,98,3.19,70,4800,9258.0
toyota corolla liftback,gas,std,two,sedan,ohc,four,98,3.19,70,4800,8058.0
toyota corona,gas,std,two,hatchback,ohc,four,98,3.19,70,4800,8238.0
toyota celica gt liftback,gas,std,two,sedan,dohc,four,98,3.24,112,6600,9298.0
toyota corolla tercel,gas,std,two,hatchback,dohc,four,98,3.24,112,6600,9538.0
toyota corona liftback,gas,std,two,hardtop,ohc,four,146,3.62,116,4800,8449.0
toyota corolla,gas,std,two,hardtop,ohc,four,146,3.62,116,4800,9639.0
toyota starlet,gas,std,two,hatchback,ohc,four,146,3.62,116,4800,9989.0
toyota tercel,gas,std,two,hardtop,ohc,four,146,3.62,116,4800,11199.0
toyota corolla,gas,std,two,hatchback,ohc,four,146,3.62,116,4800,11549.0
toyota cressida,gas,std,two,convertible,ohc,four,146,3.62,116,4800,17669.0
toyota corolla,gas,std,four,sedan,ohc,four,122,3.31,92,4200,8948.0
toyota celica gt,diesel,turbo,four,sedan,ohc,four,110,3.27,73,4500,10698.0
toyota corona,gas,std,four,hatchback,ohc,four,122,3.31,92,4200,9988.0
toyota corolla,gas,std,four,sedan,ohc,four,122,3.31,92,4200,10898.0
toyota mark ii,gas,std,four,hatchback,ohc,four,122,3.31,92,4200,11248.0
toyota corolla liftback,gas,std,two,hatchback,dohc,six,171,3.27,161,5200,16558.0
toyota corona,gas,std,two,hatchback,dohc,six,171,3.27,161,5200,15998.0
toyota starlet,gas,std,four,sedan,dohc,six,171,3.27,156,5200,15690.0
toyouta tercel,gas,std,four,wagon,dohc,six,161,3.27,156,5200,15750.0
vokswagen rabbit,diesel,std,two,sedan,ohc,four,97,3.01,52,4800,7775.0
volkswagen 1131 deluxe sedan,gas,std,two,sedan,ohc,four,109,3.19,85,5250,7975.0
volkswagen model 111,diesel,std,four,sedan,ohc,four,97,3.01,52,4800,7995.0
volkswagen type 3,gas,std,four,sedan,ohc,four,109,3.19,85,5250,8195.0
volkswagen 411 (sw),gas,std,four,sedan,ohc,four,109,3.19,85,5250,8495.0
volkswagen super beetle,diesel,turbo,four,sedan,ohc,four,97,3.01,68,4500,9495.0
volkswagen dasher,gas,std,four,sedan,ohc,four,109,3.19,100,5500,9995.0
vw dasher,gas,std,two,convertible,ohc,four,109,3.19,90,5500,11595.0
vw rabbit,gas,std,two,hatchback,ohc,four,109,3.19,90,5500,9980.0
volkswagen rabbit,gas,std,four,sedan,ohc,five,136,3.19,110,5500,13295.0
volkswagen rabbit custom,diesel,turbo,four,sedan,ohc,four,97,3.01,68,4500,13845.0
volkswagen dasher,gas,std,four,wagon,ohc,four,109,3.19,88,5500,12290.0
volvo 145e (sw),gas,std,four,sedan,ohc,four,141,3.78,114,5400,12940.0
volvo 144ea,gas,std,four,wagon,ohc,four,141,3.78,114,5400,13415.0
volvo 244dl,gas,std,four,sedan,ohc,four,141,3.78,114,5400,15985.0
volvo 245,gas,std,four,wagon,ohc,four,141,3.78,114,5400,16515.0
